1453208101.28	0	1	0	Power	0.00	Press	0.80	0.10	0.11	1000	Argon	0.00	0.00	0.27	0	EtOH	55.57É0.00	Temp	21.00	0.00	1	0	Power	0.00	Press	0.71	0.16	0.11	1000	Argon	0.00	0.00	0.27	0	EtOH	55.21	3.81	0.75	0
1453208111.17	9.89	Temp	21.00	0.00	1	0	Power	0.00	Press	4.14	0.14	0.11	1000	Argon	0.00	0.00	0.27	0	EtOH	296.23	5.41	0.75	500
1453208111.51	10.22	Temp	21.00	0.00	1	0	Power	0.00	Press	5.78	0.12	0.11	1000	Argon	0.00	0.00	0.27	0	EtOH	356.59	4.73	0.75	500
1453208111.84	10.55	Temp	21.00	0.00	1	0	Power	0.00	Press	7.51	0.11	0.11	1000	Argon	0.00	0.00	0.27	0	EtOH	400.55	4.60	0.75	500
1453208112.16	10.89	Temp	21.00	0.00	1	0	Power	0.00	Press	9.11	0.12	0.11	1000	Argon	0.00	0.00	0.27	0	EtOH	432.40	4.27	0.75	500
1453208112.49	11.21	Temp	21.00	0.00	1	0	Power	0.00	Press	10.78	0.12	0.11	1000	Argon	0.00	0.00	0.27	0	EtOH	458.88	3.60	0.75	500
1453208112.82	11.54	Temp	21.00	0.00	1	0	Power	0.00	Press	12.33	0.10	0.11	1000	Argon	0.00	0.00	0.27	0	EtOH	473.12	3.97	0.75	500
1453208113.16	11.87	Temp	21.00	0.00	1	0	Power	0.00	Press	13.79	0.11	0.11	1000	Argon	0.00	0.00	0.27	0	EtOH	485.45	2.92	0.75	500
1453208113.5	12.20	Temp	21.00	0.00	1	0	Power	0.00	Press	15.19	0.12	0.11	1000	Argon	0.00	0.00	0.27	0	EtOH	495.02	3.84	0.75	500
1453208113.81	12.54	Temp	21.00	0.00	1	0	Power	0.00	Press	16.34	0.13	0.11	1000	Argon	0.00	0.00	0.27	0	EtOH	498.00	3.18	0.75	500
1453208114.14	12.86	Temp	21.00	0.00	1	0	Power	0.00	Press	17.46	0.09	0.11	1000	Argon	0.00	0.00	0.27	0	EtOH	502.32	3.29	0.75	500
1453208114.47	13.19	Temp	21.00	0.00	1	0	Power	0.00	Press	18.48	0.11	0.11	1000	Argon	0.00	0.00	0.27	0	EtOH	502.18	3.59	0.75	500
1453208114.81	13.52	Temp	21.00	0.00	1	0	Power	0.00	Press	19.43	0.12	0.11	1000	Argon	0.00	0.00	0.27	0	EtOH	504.23	3.28	0.75	500
1453208115.14	13.85	Temp	21.00	0.00	1	0	Power	0.00	Press	20.30	0.10	0.11	1000	Argon	0.00	0.00	0.27	0	EtOH	504.73	3.58	0.75	500
1453208115.46	14.19	Temp	21.00	0.00	1	0	Power	0.00	Press	21.04	0.09	0.11	1000	Argon	0.00	0.00	0.27	0	EtOH	506.58	3.18	0.75	500
1453208115.79	14.51	Temp	21.00	0.00	1	0	Power	0.00	Press	21.77	0.12	0.11	1000	Argon	0.00	0.00	0.27	0	EtOH	507.71	3.12	0.75	500
1453208116.12	14.84	Temp	21.00	0.00	1	0	Power	0.00	Press	22.44	0.09	0.11	1000	Argon	0.00	0.00	0.27	0	EtOH	507.76	3.18	0.75	500
1453208116.45	15.17	Temp	21.00	0.00	1	0	Power	0.00	Press	22.96	0.11	0.11	1000	Argon	0.00	0.00	0.27	0	EtOH	507.71	3.47	0.75	500
1453208116.78	15.49	Temp	21.00	0.00	1	0	Power	0.00	Press	23.51	0.10	0.11	1000	Argon	0.00	0.00	0.27	0	EtOH	508.55	3.45	0.75	500
1453208117.11	15.83	Temp	21.00	0.00	1	0	Power	0.00	Press	23.97	0.09	0.11	1000	Argon	0.00	0.00	0.27	0	EtOH	509.12	3.64	0.75	500
1453208117.44	16.16	Temp	21.00	0.00	1	0	Power	0.00	Press	24.40	0.09	0.11	1000	Argon	0.00	0.00	0.27	0	EtOH	507.62	3.57	0.75	500
1453208117.77	16.49	Temp	21.00	0.00	1	0	Power	0.00	Press	24.73	0.12	0.11	1000	Argon	0.00	0.00	0.27	0	EtOH	509.31	3.02	0.75	500
1453208118.11	16.82	Temp	21.00	0.00	1	0	Power	0.00	Press	25.08	0.11	0.11	1000	Argon	0.00	0.00	0.27	0	EtOH	509.69	3.05	0.75	500
